"WHORegionName","Year","AntibioticName","TotalTested","TotalResistant","Countries","Resistance","UpperCI","LowerCI","95% CI"
"African Region",2020,"Imipenem",4772,3478,4,72.883487007544,74.1260394504893,71.6041217960966,"71.6–74.1"
"African Region",2020,"Meropenem",5195,3830,4,73.7247353224254,74.9037294174207,72.510680495344,"72.5–74.9"
"African Region",2021,"Imipenem",5211,4192,7,80.4452120514297,81.4994941031566,79.3460757009454,"79.3–81.5"
"African Region",2021,"Meropenem",5339,4287,8,80.2959355684585,81.3409387575499,79.2073673251473,"79.2–81.3"
"African Region",2022,"Imipenem",5913,4111,7,69.52477591747,70.685028670691,68.339170575983,"68.3–70.7"
"African Region",2022,"Meropenem",6196,4308,9,69.5287282117495,70.6624297634173,68.3708264266582,"68.4–70.7"
"African Region",2023,"Imipenem",6619,4639,11,70.0861157274513,71.1772798460653,68.9716504360961,"69–71.2"
"African Region",2023,"Meropenem",7036,4891,13,69.5139283683911,70.5786914124429,68.4278688355774,"68.4–70.6"
"Eastern Mediterranean Region",2020,"Imipenem",1817,1355,16,74.5734727572922,76.5223831703053,72.5208762345179,"72.5–76.5"
"Eastern Mediterranean Region",2020,"Meropenem",1776,1393,15,78.4346846846847,80.2849854471402,76.4616418996133,"76.5–80.3"
"Eastern Mediterranean Region",2021,"Imipenem",3366,2414,13,71.7171717171717,73.2132214712031,70.1716088795885,"70.2–73.2"
"Eastern Mediterranean Region",2021,"Meropenem",3423,2412,11,70.464504820333,71.9691563528893,68.9139722317093,"68.9–72"
"Eastern Mediterranean Region",2022,"Imipenem",5232,3460,16,66.131498470948,67.4016261449963,64.8376999170308,"64.8–67.4"
"Eastern Mediterranean Region",2022,"Meropenem",5114,3315,16,64.8220570981619,66.1192607501655,63.5026025333707,"63.5–66.1"
"Eastern Mediterranean Region",2023,"Imipenem",5025,3487,15,69.3930348258706,70.6520510381743,68.1043904992978,"68.1–70.7"
