WHORegionName,AntibioticName,CountryTerritoryArea,YearsReported
African Region,Imipenem,Mauritius,4
African Region,Imipenem,South Africa,4
African Region,Meropenem,Ethiopia,4
African Region,Meropenem,Mauritius,4
African Region,Meropenem,South Africa,4
Eastern Mediterranean Region,Imipenem,Bahrain,4
Eastern Mediterranean Region,Imipenem,Iran (Islamic Republic of),4
Eastern Mediterranean Region,Imipenem,Iraq,4
Eastern Mediterranean Region,Imipenem,Jordan,4
Eastern Mediterranean Region,Imipenem,Kuwait,4
Eastern Mediterranean Region,Imipenem,Oman,4
Eastern Mediterranean Region,Imipenem,Pakistan,4
Eastern Mediterranean Region,Imipenem,Qatar,4
Eastern Mediterranean Region,Imipenem,Saudi Arabia,4
Eastern Mediterranean Region,Imipenem,Tunisia,4
Eastern Mediterranean Region,Imipenem,United Arab Emirates,4
Eastern Mediterranean Region,Meropenem,Bahrain,4
Eastern Mediterranean Region,Meropenem,Iran (Islamic Republic of),4
Eastern Mediterranean Region,Meropenem,Iraq,4
Eastern Mediterranean Region,Meropenem,Jordan,4
Eastern Mediterranean Region,Meropenem,Kuwait,4
Eastern Mediterranean Region,Meropenem,Oman,4
Eastern Mediterranean Region,Meropenem,Pakistan,4
Eastern Mediterranean Region,Meropenem,Qatar,4
Eastern Mediterranean Region,Meropenem,Saudi Arabia,4
Eastern Mediterranean Region,Meropenem,Tunisia,4
Eastern Mediterranean Region,Meropenem,United Arab Emirates,4
European Region,Imipenem,Austria,4
European Region,Imipenem,Belgium,4
European Region,Imipenem,Bosnia and Herzegovina,4
European Region,Imipenem,Croatia,4
European Region,Imipenem,Cyprus,4
European Region,Imipenem,Czechia,4
European Region,Imipenem,Georgia,4
European Region,Imipenem,Germany,4
European Region,Imipenem,Greece,4
European Region,Imipenem,Italy,4
European Region,Imipenem,Kosovo,4
European Region,Imipenem,Latvia,4
European Region,Imipenem,Lithuania,4
European Region,Imipenem,Netherlands (Kingdom of the),4
European Region,Imipenem,North Macedonia,4
European Region,Imipenem,Poland,4
European Region,Imipenem,Republic of Moldova,4
European Region,Imipenem,Russian Federation,4
European Region,Imipenem,Sweden,4
European Region,Imipenem,Switzerland,4
European Region,Imipenem,Ukraine,4
European Region,Imipenem,United Kingdom of Great Britain and Northern Ireland,4
European Region,Meropenem,Austria,4
European Region,Meropenem,Belgium,4
European Region,Meropenem,Bosnia and Herzegovina,4
European Region,Meropenem,Croatia,4
European Region,Meropenem,Cyprus,4
European Region,Meropenem,Czechia,4
European Region,Meropenem,Denmark,4
European Region,Meropenem,Finland,4
European Region,Meropenem,Georgia,4
European Region,Meropenem,Germany,4
European Region,Meropenem,Greece,4
European Region,Meropenem,Ireland,4
European Region,Meropenem,Italy,4
European Region,Meropenem,Kosovo,4
European Region,Meropenem,Lithuania,4
European Region,Meropenem,Netherlands (Kingdom of the),4
European Region,Meropenem,North Macedonia,4
European Region,Meropenem,Poland,4
European Region,Meropenem,Republic of Moldova,4
European Region,Meropenem,Russian Federation,4
European Region,Meropenem,Sweden,4
European Region,Meropenem,Switzerland,4
European Region,Meropenem,Ukraine,4
European Region,Meropenem,United Kingdom of Great Britain and Northern Ireland,4
Region of the Americas,Imipenem,Argentina,4
Region of the Americas,Imipenem,Brazil,4
Region of the Americas,Imipenem,Peru,4
Region of the Americas,Meropenem,Argentina,4
Region of the Americas,Meropenem,Brazil,4
Region of the Americas,Meropenem,Peru,4
Western Pacific Region,Imipenem,Australia,4
Western Pacific Region,Imipenem,Japan,4
Western Pacific Region,Imipenem,Philippines,4
Western Pacific Region,Imipenem,Republic of Korea,4
Western Pacific Region,Meropenem,Australia,4
Western Pacific Region,Meropenem,Brunei Darussalam,4
Western Pacific Region,Meropenem,Japan,4
Western Pacific Region,Meropenem,Philippines,4
Western Pacific Region,Meropenem,Republic of Korea,4
Western Pacific Region,Meropenem,Singapore,4
