Region,Drug,Rows,Countries,TotalTested,TotalResistant,Beta,StandardError,OR,LowerCI,UpperCI,P,ResidualDeviance,ResidualDF,AIC,AdjustedP,Interpretation
African Region,Meropenem,12,3,22221,16503,-0.08771702023550934,0.013812965913590712,0.9160200551899518,0.891553407560766,0.9411581340997924,2.1484054219247688e-10,336.91311045806,10,417.80258946066914,5.371013554811922e-10,Significant annual decrease (8.4% lower odds of resistance per year)
African Region,Imipenem,8,2,21630,15986,-0.08902455496777317,0.013980886534140395,0.9148231098466746,0.8900954373329447,0.9402377399183249,1.920212284051107e-10,199.03732340265182,6,260.1042642630946,5.371013554811922e-10,Significant annual decrease (8.5% lower odds of resistance per year)
Eastern Mediterranean Region,Meropenem,44,11,14766,10143,-0.12404919223216182,0.018186597106122332,0.8833363865253483,0.8524043567947521,0.9153908770406972,9.046386971381658e-12,1308.038849283922,42,1529.5503146567467,4.523193485690829e-11,Significant annual decrease (11.7% lower odds of resistance per year)
Eastern Mediterranean Region,Imipenem,44,11,14370,9880,-0.09785555028760247,0.01836295753472468,0.90677987838671,0.8747245119312385,0.9400099535699911,9.877425559144235e-8,1345.4559520907676,42,1563.4852297631726,1.2346781948930294e-7,Significant annual decrease (9.3% lower odds of resistance per year)
European Region,Meropenem,96,24,32749,19914,-0.21016102712861298,0.011027741121645066,0.8104537304251134,0.7931245542286735,0.8281615361142933,5.694560100851054e-81,23215.98360820092,94,23592.19576920208,5.694560100851054e-80,Significant annual decrease (19.0% lower odds of resistance per year)
European Region,Imipenem,88,22,26537,19668,0.0715170424904818,0.013293092305738394,1.0741364565056613,1.0465123460771995,1.102489742733935,7.447943067591434e-8,15107.9253962383,86,15468.202923883338,1.2346781948930294e-7,Significant annual increase (7.4% higher odds of resistance per year)
Region of the Americas,Meropenem,12,3,3795,2891,-0.18404234741711123,0.035315930732224755,0.8319005742401235,0.7762657937444621,0.8915226859124816,1.87509402426006e-7,245.47324789332677,10,314.06450459463787,2.0834378047334e-7,Significant annual decrease (16.8% lower odds of resistance per year)
Region of the Americas,Imipenem,12,3,3650,2787,-0.1956287389767246,0.036600007328028865,0.8223174724395139,0.7653948495006397,0.8834734463139937,9.039387326133162e-8,246.88026400988406,10,314.1963656376174,1.2346781948930294e-7,Significant annual decrease (17.8% lower odds of resistance per year)
Western Pacific Region,Meropenem,24,6,13739,3456,0.08792454837193511,0.01772884429445876,1.0919057328548005,1.0546159287491748,1.1305140543963288,7.070881365940068e-7,6331.312329864923,22,6447.666762771745,7.070881365940068e-7,Significant annual increase (9.2% higher odds of resistance per year)
Western Pacific Region,Imipenem,16,4,12000,3071,0.10776353244615343,0.019029005612606235,1.1137843403858432,1.0730095531066743,1.1561085857037106,1.4864557767567751e-8,5356.5728948968535,14,5430.872371422293,2.9729115535135502e-8,Significant annual increase (11.4% higher odds of resistance per year)
