WHORegionName,Year,Iso3,CountryTerritoryArea,Specimen,PathogenName,AntibioticName,InterpretableAST,Resistant,ResistancePercentage,SourceFile
African Region,2020,LBR,Liberia,Bloodstream,Acinetobacter spp.,Imipenem,19,5,26.315789474,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
African Region,2020,MLI,Mali,Bloodstream,Acinetobacter spp.,Imipenem,13,4,30.769230769,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
African Region,2020,MUS,Mauritius,Bloodstream,Acinetobacter spp.,Imipenem,288,192,66.666666667,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
African Region,2020,ZAF,South Africa,Bloodstream,Acinetobacter spp.,Imipenem,4452,3277,73.607367475,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
African Region,2020,ETH,Ethiopia,Bloodstream,Acinetobacter spp.,Meropenem,46,31,67.391304348,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
African Region,2020,MWI,Malawi,Bloodstream,Acinetobacter spp.,Meropenem,359,277,77.158774373,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
African Region,2020,MUS,Mauritius,Bloodstream,Acinetobacter spp.,Meropenem,288,191,66.319444444,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
African Region,2020,ZAF,South Africa,Bloodstream,Acinetobacter spp.,Meropenem,4502,3331,73.989338072,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
African Region,2021,COD,Democratic Republic of the Congo,Bloodstream,Acinetobacter spp.,Imipenem,10,5,50,1784926461572_Resistance_to_antibiotics_in_2021_African_Region-Bloodstream.csv
African Region,2021,ETH,Ethiopia,Bloodstream,Acinetobacter spp.,Imipenem,23,16,69.565217391,1784926461572_Resistance_to_antibiotics_in_2021_African_Region-Bloodstream.csv
African Region,2021,MUS,Mauritius,Bloodstream,Acinetobacter spp.,Imipenem,257,191,74.319066148,1784926461572_Resistance_to_antibiotics_in_2021_African_Region-Bloodstream.csv
African Region,2021,MOZ,Mozambique,Bloodstream,Acinetobacter spp.,Imipenem,13,3,23.076923077,1784926461572_Resistance_to_antibiotics_in_2021_African_Region-Bloodstream.csv
African Region,2021,ZAF,South Africa,Bloodstream,Acinetobacter spp.,Imipenem,4881,3971,81.356279451,1784926461572_Resistance_to_antibiotics_in_2021_African_Region-Bloodstream.csv
African Region,2021,TZA,United Republic of Tanzania,Bloodstream,Acinetobacter spp.,Imipenem,12,2,16.666666667,1784926461572_Resistance_to_antibiotics_in_2021_African_Region-Bloodstream.csv
African Region,2021,ZMB,Zambia,Bloodstream,Acinetobacter spp.,Imipenem,15,4,26.666666667,1784926461572_Resistance_to_antibiotics_in_2021_African_Region-Bloodstream.csv
