Region,Drug,Rows,YearsObserved,Countries,TotalTested,TotalResistant,Beta,StandardError,Z,OR,LowerCI,UpperCI,P,NullDeviance,ResidualDeviance,DegreesFreedomResidual,AIC,AdjustedP,AnnualOddsChangePercent,Interpretation
African Region,Meropenem,34,4,16,23766,17316,-0.12287882868599391,0.013118155962298261,-9.36708094027462,0.8843708164425984,0.8619224807250302,0.9074038077269465,7.456619879789255e-21,945.9037628625509,857.4479396578073,32,1024.8601777563545,2.2369859639367766e-20,-11.562918355740159,Significant annual decrease (11.6% lower odds of resistance per year)
African Region,Imipenem,29,4,14,22515,16420,-0.10489368902790094,0.013561119117583401,-7.73488442350568,0.9004202420493909,0.8768029536811034,0.924673678263131,1.0349708424545275e-14,693.0281950701357,632.8213251199445,27,768.219776942448,2.483930021890866e-14,-9.957975795060914,Significant annual decrease (10.0% lower odds of resistance per year)
Eastern Mediterranean Region,Meropenem,57,4,18,15387,10640,-0.11218655951527011,0.017691332010187445,-6.34132915772923,0.893877480594441,0.8634140413871877,0.925415747270151,2.2779126647013517e-10,1486.429675947211,1445.8272869309967,55,1709.5291317185624,4.5558253294027035e-10,-10.612251940555895,Significant annual decrease (10.6% lower odds of resistance per year)
Eastern Mediterranean Region,Imipenem,60,4,19,15440,10716,-0.08207095491263568,0.017640233347313607,-4.652486919915608,0.9212065922440685,0.8899008944986231,0.9536135887042223,3.2795554738836553e-6,1560.7287407206768,1538.9409122792893,58,1815.7216140743978,5.622095098086266e-6,-7.879340775593146,Significant annual decrease (7.9% lower odds of resistance per year)
European Region,Meropenem,111,4,30,43280,27847,-0.03179459125323543,0.009853012983004889,-3.226890222115488,0.9687055422358344,0.9501778115594232,0.9875945492963512,0.0012514346254240373,30293.259638144733,30282.843960097514,109,30706.560889270644,0.0016685795005653829,-3.1294457764165617,Significant annual decrease (3.1% lower odds of resistance per year)
European Region,Imipenem,102,4,28,37100,27268,0.21688589295389885,0.011620269813180725,18.664445528440993,1.24220235000964,1.2142305483391522,1.270818528227698,9.637018600837025e-78,22382.726716739708,22030.98671060147,100,22438.584681910994,3.85480744033481e-77,24.220235000963996,Significant annual increase (24.2% higher odds of resistance per year)
Region of the Americas,Meropenem,16,4,5,8452,3983,-0.5736602794330067,0.023381135795847156,-24.535175897438542,0.5634592413041863,0.5382207626381226,0.5898812135282747,6.226632530127509e-133,2856.1944823155795,2208.961461064747,14,2302.409340840209,7.471959036153011e-132,-43.65407586958136,Significant annual decrease (43.7% lower odds of resistance per year)
Region of the Americas,Imipenem,15,4,4,7018,3815,-0.5639415348243095,0.02519412580050458,-22.383850080363377,0.5689620546732219,0.5415493320987391,0.5977623837212154,5.6545246048909496e-111,1924.0051574354868,1385.2725440884915,13,1474.4106183658103,3.39271476293457e-110,-43.10379453267781,Significant annual decrease (43.1% lower odds of resistance per year)
South-East Asia Region,Meropenem,21,3,10,22757,14905,-0.00728863523914346,0.014301163475004172,-0.5096533056126984,0.992737862446277,0.9652980158668837,1.0209577222111574,0.6102943717209435,431.4420338676167,431.1820122985106,19,555.5130473051024,0.6102943717209435,-0.7262137553722958,No significant temporal trend
South-East Asia Region,Imipenem,22,3,10,25777,17401,0.0559323071155661,0.014399616264989545,3.8842915037643686,1.057526094321903,1.028097058896385,1.0877975289339392,1.0262871772473467e-4,426.86641892125834,411.88926538263803,20,531.403544781606,1.53943076587102e-4,5.752609432190292,Significant annual increase (5.8% higher odds of resistance per year)
Western Pacific Region,Meropenem,35,4,10,22358,7878,0.012220540482600309,0.012135760252823367,1.0069859842326085,1.012295516391539,0.9885015063105814,1.036662267042054,0.3139415095678652,8309.660432535284,8308.646298827804,33,8489.754489644292,0.3424816468013075,1.229551639153903,No significant temporal trend
Western Pacific Region,Imipenem,30,4,10,20150,7440,0.02675320290707167,0.012800425496779762,2.0900245006544544,1.0271142826616981,1.0016662165453476,1.053208875593434,0.036615598877033244,7190.640230708476,7186.270585947542,28,7330.882680208362,0.04393871865243989,2.711428266169813,Significant annual increase (2.7% higher odds of resistance per year)
