WHO Region,Year,Antibiotic,Countries,Total Tested,Total Resistant,Resistance % (95% CI)
African Region,2020,Imipenem,4,4772,3478,72.9 (71.6–74.1)
African Region,2020,Meropenem,4,5195,3830,73.7 (72.5–74.9)
African Region,2021,Imipenem,7,5211,4192,80.4 (79.3–81.5)
African Region,2021,Meropenem,8,5339,4287,80.3 (79.2–81.3)
African Region,2022,Imipenem,7,5913,4111,69.5 (68.3–70.7)
African Region,2022,Meropenem,9,6196,4308,69.5 (68.4–70.7)
African Region,2023,Imipenem,11,6619,4639,70.1 (69.0–71.2)
African Region,2023,Meropenem,13,7036,4891,69.5 (68.4–70.6)
Eastern Mediterranean Region,2020,Imipenem,16,1817,1355,74.6 (72.5–76.5)
Eastern Mediterranean Region,2020,Meropenem,15,1776,1393,78.4 (76.5–80.3)
Eastern Mediterranean Region,2021,Imipenem,13,3366,2414,71.7 (70.2–73.2)
Eastern Mediterranean Region,2021,Meropenem,11,3423,2412,70.5 (68.9–72.0)
Eastern Mediterranean Region,2022,Imipenem,16,5232,3460,66.1 (64.8–67.4)
Eastern Mediterranean Region,2022,Meropenem,16,5114,3315,64.8 (63.5–66.1)
Eastern Mediterranean Region,2023,Imipenem,15,5025,3487,69.4 (68.1–70.7)
Eastern Mediterranean Region,2023,Meropenem,15,5074,3520,69.4 (68.1–70.6)
European Region,2020,Imipenem,23,5818,3542,60.9 (59.6–62.1)
European Region,2020,Meropenem,27,7704,4438,57.6 (56.5–58.7)
European Region,2021,Imipenem,26,11666,8967,76.9 (76.1–77.6)
European Region,2021,Meropenem,29,13733,9784,71.2 (70.5–72.0)
European Region,2022,Imipenem,27,10478,7492,71.5 (70.6–72.4)
European Region,2022,Meropenem,28,12455,8002,64.2 (63.4–65.1)
European Region,2023,Imipenem,26,9138,7267,79.5 (78.7–80.3)
European Region,2023,Meropenem,27,9388,5623,59.9 (58.9–60.9)
Region of the Americas,2020,Imipenem,3,973,814,83.7 (81.2–85.8)
Region of the Americas,2020,Meropenem,3,974,816,83.8 (81.3–86.0)
Region of the Americas,2021,Imipenem,4,2380,1434,60.3 (58.3–62.2)
Region of the Americas,2021,Meropenem,4,2830,1481,52.3 (50.5–54.2)
Region of the Americas,2022,Imipenem,4,1754,797,45.4 (43.1–47.8)
Region of the Americas,2022,Meropenem,4,2234,843,37.7 (35.7–39.8)
Region of the Americas,2023,Imipenem,4,1911,770,40.3 (38.1–42.5)
Region of the Americas,2023,Meropenem,5,2414,843,34.9 (33.0–36.8)
South-East Asia Region,2020,Imipenem,6,2664,1809,67.9 (66.1–69.7)
South-East Asia Region,2020,Meropenem,6,2838,1909,67.3 (65.5–69.0)
South-East Asia Region,2022,Imipenem,7,9849,6350,64.5 (63.5–65.4)
South-East Asia Region,2022,Meropenem,6,7666,4906,64.0 (62.9–65.1)
South-East Asia Region,2023,Imipenem,9,13264,9242,69.7 (68.9–70.5)
South-East Asia Region,2023,Meropenem,9,12253,8090,66.0 (65.2–66.9)
Western Pacific Region,2020,Imipenem,6,4157,1321,31.8 (30.4–33.2)
Western Pacific Region,2020,Meropenem,8,4950,1505,30.4 (29.1–31.7)
Western Pacific Region,2021,Imipenem,8,5921,2538,42.9 (41.6–44.1)
Western Pacific Region,2021,Meropenem,8,6144,2605,42.4 (41.2–43.6)
Western Pacific Region,2022,Imipenem,8,3489,1063,30.5 (29.0–32.0)
Western Pacific Region,2022,Meropenem,9,3998,1163,29.1 (27.7–30.5)
Western Pacific Region,2023,Imipenem,8,6583,2518,38.3 (37.1–39.4)
Western Pacific Region,2023,Meropenem,10,7266,2605,35.9 (34.8–37.0)
